BEGIN DSCRDATA
% INDEX	K01	L01	M01	K02	L02	M02	K03	L03	M03	K04	L04	M04	K05	L05	M05	K06	L06	M06	K07	L07	M07	K08	L08	M08	K09	L09	M09	K10	L10	M10	K11	L11	M11	K12	L12	M12	K13	L13	M13	K14	L14	M14	K15	L15	M15	K16	L16	M16	K17	L17	M17	K18	L18	M18	T01	T02	T03
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	2E-13	1E10	1E10	1E-30	1.32911036301823E-10	1E10	1E-30	1E10	0.356179446179909	2.10188899045152E-12	3.486126987197E-12	15.5369847845408	5.74242529082105E-13	9.44304814177908E-12	83.5362984900254	2.23574203879721E-13	2.09927326409389E-11	322.753815342956	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.05	0.05
2	2E-13	1E10	1E10	1E-30	1.32911036301823E-10	1E10	1E-30	1E10	0.356179446179909	2.10188899045152E-12	3.486126987197E-12	15.5369847845408	5.74242529082105E-13	9.44304814177908E-12	83.5362984900254	2.23574203879721E-13	2.09927326409389E-11	322.753815342956	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.1	0.1
3	2E-13	1E10	1E10	1E-30	1.32911036301823E-10	1E10	1E-30	1E10	0.356179446179909	2.10188899045152E-12	3.486126987197E-12	15.5369847845408	5.74242529082105E-13	9.44304814177908E-12	83.5362984900254	2.23574203879721E-13	2.09927326409389E-11	322.753815342956	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.05	0.05
4	2E-13	1E10	1E10	1E-30	1.32911036301823E-10	1E10	1E-30	1E10	0.356179446179909	2.10188899045152E-12	3.486126987197E-12	15.5369847845408	5.74242529082105E-13	9.44304814177908E-12	83.5362984900254	2.23574203879721E-13	2.09927326409389E-11	322.753815342956	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.1	0.1
5	2E-13	1E10	1E10	1E-30	1.32911036301823E-10	1E10	1E-30	1E10	0.356179446179909	2.10188899045152E-12	3.486126987197E-12	15.5369847845408	5.74242529082105E-13	9.44304814177908E-12	83.5362984900254	2.23574203879721E-13	2.09927326409389E-11	322.753815342956	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.05	0.05
6	2E-13	1E10	1E10	1E-30	1.32911036301823E-10	1E10	1E-30	1E10	0.356179446179909	2.10188899045152E-12	3.486126987197E-12	15.5369847845408	5.74242529082105E-13	9.44304814177908E-12	83.5362984900254	2.23574203879721E-13	2.09927326409389E-11	322.753815342956	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.1	0.1
7	2E-13	1E10	1E10	1E-30	1.32911036301823E-10	1E10	1E-30	1E10	0.356179446179909	2.10188899045152E-12	3.486126987197E-12	15.5369847845408	5.74242529082105E-13	9.44304814177908E-12	83.5362984900254	2.23574203879721E-13	2.09927326409389E-11	322.753815342956	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.05	0.05
8	2E-13	1E10	1E10	1E-30	1.32911036301823E-10	1E10	1E-30	1E10	0.356179446179909	2.10188899045152E-12	3.486126987197E-12	15.5369847845408	5.74242529082105E-13	9.44304814177908E-12	83.5362984900254	2.23574203879721E-13	2.09927326409389E-11	322.753815342956	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.1	0.1
9	2E-13	1E10	1E10	1E-30	1.32911036301823E-10	1E10	1E-30	1E10	0.356179446179909	2.10188899045152E-12	3.486126987197E-12	15.5369847845408	5.74242529082105E-13	9.44304814177908E-12	83.5362984900254	2.23574203879721E-13	2.09927326409389E-11	322.753815342956	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.05	0.05
10	2E-13	1E10	1E10	1E-30	1.32911036301823E-10	1E10	1E-30	1E10	0.356179446179909	2.10188899045152E-12	3.486126987197E-12	15.5369847845408	5.74242529082105E-13	9.44304814177908E-12	83.5362984900254	2.23574203879721E-13	2.09927326409389E-11	322.753815342956	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.1	0.1
11	3E-13	1E10	1E10	1E-30	1.34061900833325E-10	1E10	1E-30	1E10	0.298985528528213	2.10188899045152E-12	3.486126987197E-12	15.5369847845408	5.74242529082105E-13	9.44304814177908E-12	83.5362984900254	2.23574203879721E-13	2.09927326409389E-11	322.753815342956	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.05	0.05
12	3E-13	1E10	1E10	1E-30	1.34061900833325E-10	1E10	1E-30	1E10	0.298985528528213	2.10188899045152E-12	3.486126987197E-12	15.5369847845408	5.74242529082105E-13	9.44304814177908E-12	83.5362984900254	2.23574203879721E-13	2.09927326409389E-11	322.753815342956	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.1	0.1
13	3E-13	1E10	1E10	1E-30	1.34061900833325E-10	1E10	1E-30	1E10	0.298985528528213	2.10188899045152E-12	3.486126987197E-12	15.5369847845408	5.74242529082105E-13	9.44304814177908E-12	83.5362984900254	2.23574203879721E-13	2.09927326409389E-11	322.753815342956	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.05	0.05
14	3E-13	1E10	1E10	1E-30	1.34061900833325E-10	1E10	1E-30	1E10	0.298985528528213	2.10188899045152E-12	3.486126987197E-12	15.5369847845408	5.74242529082105E-13	9.44304814177908E-12	83.5362984900254	2.23574203879721E-13	2.09927326409389E-11	322.753815342956	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.1	0.1
15	3E-13	1E10	1E10	1E-30	1.34061900833325E-10	1E10	1E-30	1E10	0.298985528528213	2.10188899045152E-12	3.486126987197E-12	15.5369847845408	5.74242529082105E-13	9.44304814177908E-12	83.5362984900254	2.23574203879721E-13	2.09927326409389E-11	322.753815342956	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.05	0.05
16	3E-13	1E10	1E10	1E-30	1.34061900833325E-10	1E10	1E-30	1E10	0.298985528528213	2.10188899045152E-12	3.486126987197E-12	15.5369847845408	5.74242529082105E-13	9.44304814177908E-12	83.5362984900254	2.23574203879721E-13	2.09927326409389E-11	322.753815342956	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.1	0.1
17	3E-13	1E10	1E10	1E-30	1.34061900833325E-10	1E10	1E-30	1E10	0.298985528528213	2.10188899045152E-12	3.486126987197E-12	15.5369847845408	5.74242529082105E-13	9.44304814177908E-12	83.5362984900254	2.23574203879721E-13	2.09927326409389E-11	322.753815342956	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.05	0.05
18	3E-13	1E10	1E10	1E-30	1.34061900833325E-10	1E10	1E-30	1E10	0.298985528528213	2.10188899045152E-12	3.486126987197E-12	15.5369847845408	5.74242529082105E-13	9.44304814177908E-12	83.5362984900254	2.23574203879721E-13	2.09927326409389E-11	322.753815342956	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.1	0.1
19	3E-13	1E10	1E10	1E-30	1.34061900833325E-10	1E10	1E-30	1E10	0.298985528528213	2.10188899045152E-12	3.486126987197E-12	15.5369847845408	5.74242529082105E-13	9.44304814177908E-12	83.5362984900254	2.23574203879721E-13	2.09927326409389E-11	322.753815342956	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.05	0.05
20	3E-13	1E10	1E10	1E-30	1.34061900833325E-10	1E10	1E-30	1E10	0.298985528528213	2.10188899045152E-12	3.486126987197E-12	15.5369847845408	5.74242529082105E-13	9.44304814177908E-12	83.5362984900254	2.23574203879721E-13	2.09927326409389E-11	322.753815342956	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.1	0.1
21	4E-13	1E10	1E10	1E-30	1.23757507768692E-10	1E10	1E-30	1E10	0.288386169494423	1.24165342734189E-11	8.3634369488163E-13	5.8912051006656	3.20724443187924E-12	2.43101174207418E-12	12.2455627679432	1.96368484529077E-12	3.58181573823539E-12	21.5648547468387	2.20445755877208E-13	2.44755029087421E-11	341.678241835026	7.40061693747313E-13	7.28153166338497E-12	58.9282752712385	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.05	0.05
22	4E-13	1E10	1E10	1E-30	1.23757507768692E-10	1E10	1E-30	1E10	0.288386169494423	1.24165342734189E-11	8.3634369488163E-13	5.8912051006656	3.20724443187924E-12	2.43101174207418E-12	12.2455627679432	1.96368484529077E-12	3.58181573823539E-12	21.5648547468387	2.20445755877208E-13	2.44755029087421E-11	341.678241835026	7.40061693747313E-13	7.28153166338497E-12	58.9282752712385	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.1	0.1
23	4E-13	1E10	1E10	1E-30	1.23757507768692E-10	1E10	1E-30	1E10	0.288386169494423	1.24165342734189E-11	8.3634369488163E-13	5.8912051006656	3.20724443187924E-12	2.43101174207418E-12	12.2455627679432	1.96368484529077E-12	3.58181573823539E-12	21.5648547468387	2.20445755877208E-13	2.44755029087421E-11	341.678241835026	7.40061693747313E-13	7.28153166338497E-12	58.9282752712385	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.05	0.05
24	4E-13	1E10	1E10	1E-30	1.23757507768692E-10	1E10	1E-30	1E10	0.288386169494423	1.24165342734189E-11	8.3634369488163E-13	5.8912051006656	3.20724443187924E-12	2.43101174207418E-12	12.2455627679432	1.96368484529077E-12	3.58181573823539E-12	21.5648547468387	2.20445755877208E-13	2.44755029087421E-11	341.678241835026	7.40061693747313E-13	7.28153166338497E-12	58.9282752712385	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.1	0.1
25	4E-13	1E10	1E10	1E-30	1.23757507768692E-10	1E10	1E-30	1E10	0.288386169494423	1.24165342734189E-11	8.3634369488163E-13	5.8912051006656	3.20724443187924E-12	2.43101174207418E-12	12.2455627679432	1.96368484529077E-12	3.58181573823539E-12	21.5648547468387	2.20445755877208E-13	2.44755029087421E-11	341.678241835026	7.40061693747313E-13	7.28153166338497E-12	58.9282752712385	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.05	0.05
26	4E-13	1E10	1E10	1E-30	1.23757507768692E-10	1E10	1E-30	1E10	0.288386169494423	1.24165342734189E-11	8.3634369488163E-13	5.8912051006656	3.20724443187924E-12	2.43101174207418E-12	12.2455627679432	1.96368484529077E-12	3.58181573823539E-12	21.5648547468387	2.20445755877208E-13	2.44755029087421E-11	341.678241835026	7.40061693747313E-13	7.28153166338497E-12	58.9282752712385	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.1	0.1
27	4E-13	1E10	1E10	1E-30	1.23757507768692E-10	1E10	1E-30	1E10	0.288386169494423	1.24165342734189E-11	8.3634369488163E-13	5.8912051006656	3.20724443187924E-12	2.43101174207418E-12	12.2455627679432	1.96368484529077E-12	3.58181573823539E-12	21.5648547468387	2.20445755877208E-13	2.44755029087421E-11	341.678241835026	7.40061693747313E-13	7.28153166338497E-12	58.9282752712385	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.05	0.05
28	4E-13	1E10	1E10	1E-30	1.23757507768692E-10	1E10	1E-30	1E10	0.288386169494423	1.24165342734189E-11	8.3634369488163E-13	5.8912051006656	3.20724443187924E-12	2.43101174207418E-12	12.2455627679432	1.96368484529077E-12	3.58181573823539E-12	21.5648547468387	2.20445755877208E-13	2.44755029087421E-11	341.678241835026	7.40061693747313E-13	7.28153166338497E-12	58.9282752712385	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.1	0.1
29	4E-13	1E10	1E10	1E-30	1.23757507768692E-10	1E10	1E-30	1E10	0.288386169494423	1.24165342734189E-11	8.3634369488163E-13	5.8912051006656	3.20724443187924E-12	2.43101174207418E-12	12.2455627679432	1.96368484529077E-12	3.58181573823539E-12	21.5648547468387	2.20445755877208E-13	2.44755029087421E-11	341.678241835026	7.40061693747313E-13	7.28153166338497E-12	58.9282752712385	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.05	0.05
30	4E-13	1E10	1E10	1E-30	1.23757507768692E-10	1E10	1E-30	1E10	0.288386169494423	1.24165342734189E-11	8.3634369488163E-13	5.8912051006656	3.20724443187924E-12	2.43101174207418E-12	12.2455627679432	1.96368484529077E-12	3.58181573823539E-12	21.5648547468387	2.20445755877208E-13	2.44755029087421E-11	341.678241835026	7.40061693747313E-13	7.28153166338497E-12	58.9282752712385	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.1	0.1
31	5E-13	1E10	1E10	1E-30	1.1337194025859E-10	1E10	1E-30	1E10	0.27132308655979	3.20724443187924E-12	2.43101174207418E-12	12.2455627679432	1.96368484529077E-12	3.58181573823539E-12	21.5648547468387	9.86280375079838E-12	6.64331410778108E-13	5.8912051006656	2.20445755877208E-13	2.44755029087421E-11	341.678241835026	7.40061693747313E-13	7.28153166338497E-12	58.9282752712385	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.05	0.05
32	5E-13	1E10	1E10	1E-30	1.1337194025859E-10	1E10	1E-30	1E10	0.27132308655979	3.20724443187924E-12	2.43101174207418E-12	12.2455627679432	1.96368484529077E-12	3.58181573823539E-12	21.5648547468387	9.86280375079838E-12	6.64331410778108E-13	5.8912051006656	2.20445755877208E-13	2.44755029087421E-11	341.678241835026	7.40061693747313E-13	7.28153166338497E-12	58.9282752712385	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.1	0.1
33	5E-13	1E10	1E10	1E-30	1.1337194025859E-10	1E10	1E-30	1E10	0.27132308655979	3.20724443187924E-12	2.43101174207418E-12	12.2455627679432	1.96368484529077E-12	3.58181573823539E-12	21.5648547468387	9.86280375079838E-12	6.64331410778108E-13	5.8912051006656	2.20445755877208E-13	2.44755029087421E-11	341.678241835026	7.40061693747313E-13	7.28153166338497E-12	58.9282752712385	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.05	0.05
34	5E-13	1E10	1E10	1E-30	1.1337194025859E-10	1E10	1E-30	1E10	0.27132308655979	3.20724443187924E-12	2.43101174207418E-12	12.2455627679432	1.96368484529077E-12	3.58181573823539E-12	21.5648547468387	9.86280375079838E-12	6.64331410778108E-13	5.8912051006656	2.20445755877208E-13	2.44755029087421E-11	341.678241835026	7.40061693747313E-13	7.28153166338497E-12	58.9282752712385	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.1	0.1
35	5E-13	1E10	1E10	1E-30	1.1337194025859E-10	1E10	1E-30	1E10	0.27132308655979	3.20724443187924E-12	2.43101174207418E-12	12.2455627679432	1.96368484529077E-12	3.58181573823539E-12	21.5648547468387	9.86280375079838E-12	6.64331410778108E-13	5.8912051006656	2.20445755877208E-13	2.44755029087421E-11	341.678241835026	7.40061693747313E-13	7.28153166338497E-12	58.9282752712385	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.05	0.05
36	5E-13	1E10	1E10	1E-30	1.1337194025859E-10	1E10	1E-30	1E10	0.27132308655979	3.20724443187924E-12	2.43101174207418E-12	12.2455627679432	1.96368484529077E-12	3.58181573823539E-12	21.5648547468387	9.86280375079838E-12	6.64331410778108E-13	5.8912051006656	2.20445755877208E-13	2.44755029087421E-11	341.678241835026	7.40061693747313E-13	7.28153166338497E-12	58.9282752712385	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.1	0.1
37	5E-13	1E10	1E10	1E-30	1.1337194025859E-10	1E10	1E-30	1E10	0.27132308655979	3.20724443187924E-12	2.43101174207418E-12	12.2455627679432	1.96368484529077E-12	3.58181573823539E-12	21.5648547468387	9.86280375079838E-12	6.64331410778108E-13	5.8912051006656	2.20445755877208E-13	2.44755029087421E-11	341.678241835026	7.40061693747313E-13	7.28153166338497E-12	58.9282752712385	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.05	0.05
38	5E-13	1E10	1E10	1E-30	1.1337194025859E-10	1E10	1E-30	1E10	0.27132308655979	3.20724443187924E-12	2.43101174207418E-12	12.2455627679432	1.96368484529077E-12	3.58181573823539E-12	21.5648547468387	9.86280375079838E-12	6.64331410778108E-13	5.8912051006656	2.20445755877208E-13	2.44755029087421E-11	341.678241835026	7.40061693747313E-13	7.28153166338497E-12	58.9282752712385	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.1	0.1
39	5E-13	1E10	1E10	1E-30	1.1337194025859E-10	1E10	1E-30	1E10	0.27132308655979	3.20724443187924E-12	2.43101174207418E-12	12.2455627679432	1.96368484529077E-12	3.58181573823539E-12	21.5648547468387	9.86280375079838E-12	6.64331410778108E-13	5.8912051006656	2.20445755877208E-13	2.44755029087421E-11	341.678241835026	7.40061693747313E-13	7.28153166338497E-12	58.9282752712385	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.05	0.05
40	5E-13	1E10	1E10	1E-30	1.1337194025859E-10	1E10	1E-30	1E10	0.27132308655979	3.20724443187924E-12	2.43101174207418E-12	12.2455627679432	1.96368484529077E-12	3.58181573823539E-12	21.5648547468387	9.86280375079838E-12	6.64331410778108E-13	5.8912051006656	2.20445755877208E-13	2.44755029087421E-11	341.678241835026	7.40061693747313E-13	7.28153166338497E-12	58.9282752712385	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.1	0.1
